fraction_of_rated_power;dc_voltage_level;ac_power;dc_voltage;efficiency
0.1;Vmin;750;290;0.9200
0.2;Vmin;1500;290;0.9400
0.3;Vmin;2250;290;0.9550
0.5;Vmin;3750;290;0.9580
0.75;Vmin;5625;290;0.9590
1;Vmin;7500;290;0.9585
0.1;Vnom;750;570;0.9400
0.2;Vnom;1500;570;0.9580
0.3;Vnom;2250;570;0.9650
0.5;Vnom;3750;570;0.9700
0.75;Vnom;5625;570;0.9720
1;Vnom;7500;570;0.9700
0.1;Vmax;750;720;0.9100
0.2;Vmax;1500;720;0.9400
0.3;Vmax;2250;720;0.9600
0.5;Vmax;3750;720;0.9640
0.75;Vmax;5625;720;0.9680
1;Vmax;7500;720;0.9680
